GPT4_polarity,GPT4_sentiment,Gemini_polarity,Gemini_sentiment
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
0.0,Neutral,0.0,Neutral
