"query","title","link","snippet","content","Framing Category","Narrative Position","Justification Theme","Cultural/Historical Reference"
"meta give up fact check","Meta Says It Will End Its Fact-Checking Program on Social Media ...","https://www.nytimes.com/live/2025/01/07/business/meta-fact-checking","Jan 7, 2025 ... Meta said on Tuesday that it was ending its longstanding fact-checking program, a policy instituted to curtail the spread of misinformation ...","SKIP ADVERTISEMENT Pinned Mike Isaac and Theodore Schleifer Mike Isaac has covered Facebook and social media since 2010. Theodore Schleifer covers politics and Silicon Valley. Here’s what to know. Image Since the election, Mark Zuckerberg and other Meta executives have moved swiftly to try to repair their strained relationships with conservatives. Credit... Kenny Holston/The New York Times Meta said on Tuesday that it was ending its longstanding fact-checking program, a policy instituted to curtail the spread of misinformation across its social media apps, in a stark sign of how the company was repositioning itself for the Trump presidency and throwing its weight behind unfettered speech online. Meta, which owns Facebook, Instagram and WhatsApp, said it would now allow more speech, rely on its users to correct inaccurate and false posts, and take a more personalized approach to political content. It described the changes with the language of regret, saying it had strayed too far fro...","Democratic Resilience","Neutral/Mixed","Public Interest","None"
"meta give up fact check","Here's why Meta ended fact-checking, according to experts - ABC ...","https://abcnews.go.com/US/why-did-meta-remove-fact-checkers-experts-explain/story?id=117417445","Jan 7, 2025 ... Meta launched the fact-checking program in the heat of intense ... \"Some people believe giving more people a voice is driving division rather than ...","Here's why Meta ended fact-checking, according to experts Meta will replace fact-checkers with a user-based system, the company said. By Max Zahn January 7, 2025, 6:31 PM 4:23 Mark Zuckerberg, chief executive officer of Meta Platforms Inc., during an interview on \"The Circuit with Emily Chang\" at Meta headquarters in Menlo Park, Calif., July 18, 2024. Jason Henry/Bloomberg via Getty Images, FILE Meta, the parent company of Facebook, announced plans Tuesday to replace fact-checkers with a user-based system known as \"community notes.\" Fact-checkers who were put in place in the wake of Donald Trump's 2016 election have proven to be \"too politically biased\" and have destroyed \"more trust than they've created,\" particularly in the United States, Meta CEO Mark Zuckerberg said in a video posted by the company. \"The recent elections also feel like a cultural tipping point towards once again prioritizing speech,\" Zuckerberg added. MORE: Facebook, Instagram dump fact-checkers citing election...","Democratic Resilience","Neutral/Mixed","Bias Correction","None"
"meta give up fact check","Why is Meta giving up on fact checking?","https://finshots.in/archive/why-is-meta-giving-up-on-fact-checking-community-notes/","Jan 20, 2025 ... Meta, the parent company of Facebook, Instagram, and Threads, is ditching its third-party fact-checking program in the US. Instead, it's introducing 'community ...","In today’s Finshots, we tell you why Meta is discontinuing its fact-checking program on Facebook, Instagram and Threads. But before we dive into the story, did you know that schools in India are legally required to operate as non-profits? Yet, school fees often feel sky-high. So, what’s driving these costs and where’s the money going? We break it all down in our latest video - you can check it out here. Also, if you’re someone who loves to keep tabs on what’s happening in the world of business and finance, then hit subscribe if you haven’t already. If you’re already a subscriber or you’re reading this on the app, you can just go ahead and read the story. The Story The \"Nosedive\" episode from the series Black Mirror paints a chilling picture of a world where every post, like, and interaction shapes the user’s social credit score. And this score is something that will dictate their jobs, housing, and even flights. One bad post, one viral misstep, and the user’s life spirals out of ...","Free Expression","Neutral/Mixed","Public Interest","None"
"meta give up fact check","More Speech and Fewer Mistakes | Meta","https://about.fb.com/news/2025/01/meta-more-speech-fewer-mistakes/","Jan 19, 2025 ... Today we're sharing an update on our work to provide Meta's services in a way that allows people to express themselves freely ...","Meta More Speech and Fewer Mistakes Today we’re sharing an update on our work to provide Meta’s services in a way that allows people to express themselves freely and accurately. By Monika Bickert, Vice President, Content Policy January 19, 2025 Facebook Meta is the most used social service in the world because people here build communities, form relationships and start movements. Our teams’ responsibility is simple: keep people safe online while also giving people a voice. We’ve done this for years by removing content that can cause real world harms and reducing the distribution of problematic content. But we have also heard honest feedback that in our policies to curb misinformation, we were slow to recognize the impact on free expression. To better address that, we are taking a new approach...","Free Expression","Neutral/Mixed","Civil Liberties","None"
"meta give up fact check","Meta is ending its fact-checking program in favor of a 'community ...","https://www.pbs.org/newshour/world/meta-is-ending-its-fact-checking-program-in-favor-of-a-community-notes-system","Jan 8, 2025 ... Meta says it’s ending its fact-checking program in favor of a crowd-sourced “community notes” system. Tech experts fear the move will accelerate the spread of misinformation ...","Meta is ending its fact-checking program in favor of a 'community notes' system By Arjun Kapoor and Emily Zhu PBS NewsHour Jan 8, 2025 3:56 PM EST The technology giant Meta says it will end its fact-checking program and instead rely on a crowd-sourced “community notes” system to moderate misinformation on its platforms, including Facebook and Instagram. Meta claims the change will allow more freedom of expression and reduce accusations of bias in its content moderation. However, some tech experts and misinformation researchers fear the move will accelerate the spread of false claims and harmful content online. They warn that without professional fact-checkers, more hoaxes and propaganda could slip through, undermining efforts to curb misinformation. Meta’s decision comes as social media companies face growing debates over how to balance free speech and content moderation...","Harm Prevention","Pro-Regulation","User Safety","None"
"meta give up fact check","Zuckerberg Goes “Full MAGA” as Meta Ends Fact-Checking in U.S. ...","https://www.democracynow.org/2025/1/9/meta_fact_checking_changes_trump_2025","Jan 9, 2025 ... Can you talk about how Mark Zuckerberg's announcement, soon after he met with Donald Trump and is giving well over a ...","Headlines for April 14 Watch Read Israel Bombs Last Functioning Hospital in Northern Gaza 1,600 Israeli Ex-Soldiers and Intelligence Agents Demand End to Assault on Gaza, Return of Hostages Houthis Say U.S. Attacks on Yemen Killed Seven, Wounded 29 34 Killed, Over 100 Injured in Sumy, Ukraine, as Russia Bombs Palm Sunday Celebrations U.S. Demands Control Over Ukrainian Gas Pipeline as Part of Arms-for-Minerals Deal Trump Administration Ends Protected Status for Cameroonian and Afghan Immigrants Judge Rules Trump Admin Can Deport Mahmoud Khalil for His Beliefs State Dept. Has No Evidence Tying Abducted Tufts Student Rumeysa Ozturk to “Antisemitic” Activity Trump Hosts El Salvador’s Bukele at White House Amid Uproar over U.S. Transfers to CECOT Judge Rules Against Religious Groups, Says ICE Can Raid Houses of Worship Trump Exempts Smartphones and Other Electronics from Steep Tariffs on China Democrats Dig In on Suspected Insider Trading by Trump Associates Amid Tariffs Roller Coaster ...","Democratic Resilience","Pro-Regulation","Public Interest","None"
"meta give up fact check","Meta drops fact-checking 'starting in the US.' From the Brussels ...","https://eu-renew.eu/meta-drops-fact-checking-starting-in-the-us-from-the-brussels-effect-to-the-texas-effect/","Jan 17, 2025 ... Meta decided to abandon its US fact-checking program for its platforms, Facebook, Instagram and Threads, two weeks before Donald Trump assumed Office.","Meta drops fact-checking ‘starting in the US.’ From the Brussels Effect to the Texas Effect Published by EU-RENEW on January 17, 2025 January 17, 2025 Uta Kohl, Visiting Professor in Law and Technology, CUHK, Hong Kong — Deep Dive — Meta’s policy reversal and its drivers Meta decided to abandon its US fact-checking program for its platforms, Facebook, Instagram and Threads, two weeks before Donald Trump assumed Office, but why? In his address to the world, Mark Zuckerberg justified Meta’s decision as being in the public interest given that the fact-checking program was, he said, riddled with ‘too many mistakes and too much censorship’. He distanced himself from the argument that fake news undermines democracy. Meta had initiated fact-checking, it seems, only to stop the nagging by the ‘legacy media’ which ‘[a]fter Trump first got elected in 2016, … wrote nonstop about how misinformation was a threat to democracy.’ Even taking Zuckerberg’s words at face value, there are holes in his...","Free Expression","Pro-Free Speech","Public Interest","None"
"meta give up fact check","Meta Ends Fact Checking in Campaign to Woo Trump - Common ...","https://www.commoncause.org/press/meta-ends-fact-checking-in-campaign-to-woo-trump/","Jan 7, 2025 ... Meta announced that it will end its third-party fact checking program, including its efforts to combat widespread political disinformation.","Media Contact David Vance National Media Strategist dvance@commoncause.org Today, Meta announced that it will end its third-party fact checking program, including its efforts to combat widespread political disinformation. The program had faced criticism from conservative election deniers including former- and future-President Donald Trump. Statement of Ishan Mehta, Common Cause Media and Democracy Program Director Americans deserve to know the truth, and Meta’s move to end its third-party fact checking opens the door for politicians and others to spread lies without consequence on its platforms. This is a major step backward in the fight against online misinformation and a brazen attempt to appease those who trade in lies. We will be vigilant in monitoring how this impacts the integrity of information on Facebook and Instagram, especially heading into the 2026 midterm elections...","Harm Prevention","Pro-Regulation","Public Interest","None"
"meta give up fact check","Zuckerberg Defends Ending Fact-Checking: 'People Should Make ...","https://www.politico.com/news/2025/01/08/zuckerberg-defends-ending-fact-checking-00070314","Jan 8, 2025 ... Zuckerberg argued that users should be able to make up their own minds about what to believe, rather than relying on 'biased' fact-checkers ...","Zuckerberg Defends Ending Fact-Checking: 'People Should Make Up Their Own Minds' By Rebecca Kern 01/08/2025 04:30 PM EST Meta CEO Mark Zuckerberg on Wednesday defended his decision to end the social media company’s fact-checking program in the United States, saying users should be able to make up their own minds about what to believe rather than rely on “biased” authorities to label truth and falsehood. Speaking at a tech conference, Zuckerberg framed the move as an effort to promote free expression and reduce what he sees as censorship of conservative voices on Facebook and Instagram. “There’s a risk when we rely too much on these so-called fact-checkers that we inadvertently silence valid perspectives,” he said. The decision, coming just ahead of Donald Trump’s return to the White House, has drawn praise from right-wing free speech advocates and criticism from those who warn it will unleash a new wave of misinformation ahead of the 2026 elections...","Free Expression","Pro-Free Speech","Bias Correction","None"
"meta give up fact check","Big Tech’s retreat from fact-checking raises alarms about ...","https://www.washingtonpost.com/technology/2025/01/11/meta-fact-checking-misinformation/","Jan 11, 2025 ... Experts say Meta's decision to pull back from fact-checking could fuel a resurgence of misinformation and extremist content ahead of the 2026 elections ...","(Kudryavtsev/AFP via Getty Images) Published 13 Jan 2025 **Cyber Security Technology** Listen to this article Meta’s recent decision to dismantle its professional fact-checking program marks a significant shift in the company’s approach to moderating content across its platforms – including Facebook, Instagram and WhatsApp – and has potentially far-reaching consequences for national and regional security. Meta has vast global reach, with nearly 3 billion users, and its policy choices can ripple across democracies worldwide. **The move has alarmed experts who say it could fuel a resurgence of misinformation, extremism and hate speech** ahead of the 2026 U.S. midterm elections and other global contests&#8203;:contentReference[oaicite:6]{index=6}. They warn that without professional fact-checkers, **false narratives and propaganda may spread more freely**, undermining efforts to safeguard both public safety and democratic discourse. Meta, however, contends that empowering users to moderate content through community notes will strike a better balance between free expression and policing falsehoods. **The debate reflects a broader tension between fostering open speech and preventing digital harms in the social media era.**","Harm Prevention","Pro-Regulation","User Safety","None"
